radius_0,radius_1,desired_impact_vel,time_step,rho,coeff_of_res,max_pen_depth_percent_0,max_pen_depth_percent_1,collision_steps,real_impact_vel,desired_collision_step_count,initial_separation_distance,simulation_max_step_count,desired_coeff_of_res
0.0000001,0.00000003,0.0000001,1,0.88,0.00000030633156297220225,1.1656853889544632,3.8856179631815437,29,0.0000001,12,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.0000001,1,0.88,0.0006573358049889596,0.9368065928224232,3.1226886427414104,20,0.0000001,15,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.0000001,1,0.88,0.005330882430140674,1.3200476820953397,4.400158940317799,22,0.0000001,20,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818015,,,,1,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818015,,,,3,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.49160486035377,,,,5,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.0000003,1,0.88,0.000000000000002205814966808074,1.0505624270510063,3.5018747568366884,58,0.0000003,7,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.0000003,1,0.88,error,particles are still colliding,,,,10,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.0000003,1,0.88,0.000000000000002294047565480397,1.3750000000000075,4.583333333333358,70,0.0000003,12,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.0000003,1,0.88,0.000000000000002294047565480397,1.3750000000000075,4.583333333333358,70,0.0000003,15,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.0000003,1,0.88,0.000000000000002294047565480397,1.3750000000000075,4.583333333333358,70,0.0000003,20,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818014,,,,1,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818014,,,,3,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818014,,,,5,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818014,,,,7,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818014,,,,10,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818014,,,,12,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818014,,,,15,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818014,,,,20,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 20.963699340787368,,,,1,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 20.963699340787368,,,,3,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 20.963699340787368,,,,5,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 20.963699340787368,,,,7,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 20.963699340787368,,,,10,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 20.963699340787368,,,,12,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 20.963699340787368,,,,15,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 20.963699340787368,,,,20,0.00000014300000000000002,1,0.2
0.0000001,0.00000001,0.00000003,1,0.88,error,Coefficient of restitution is greater than 1: 29.29703267412065,,,,1,0.000000121,1,0.2
0.0000001,0.00000001,0.00000003,1,0.88,error,Coefficient of restitution is greater than 1: 2.6029201627088385,,,,3,0.000000121,1,0.2
0.0000001,0.00000001,0.00000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.1989276951794614,,,,5,0.000000121,1,0.2
0.0000001,0.00000001,0.00000003,1,0.88,0.159666257436944,0.058520809016998424,0.5852080901699842,1,0.00000003,7,0.000000121,1,0.2
0.0000001,0.00000001,0.00000003,1,0.88,error,particles are still colliding,,,,10,0.000000121,1,0.2
0.0000001,0.00000001,0.00000003,1,0.88,error,particles are still colliding,,,,12,0.000000121,1,0.2
0.0000001,0.00000001,0.00000003,1,0.88,0.0006652487564738264,0.45778289577372594,4.5778289577372595,20,0.00000003,15,0.000000121,1,0.2
0.0000001,0.00000001,0.00000003,1,0.88,0.0032457833125686436,0.3869544081166758,3.8695440811667576,23,0.00000003,20,0.000000121,1,0.2
0.0000001,0.00000001,0.0000001,1,0.88,error,Coefficient of restitution is greater than 1: 29.297032674120672,,,,1,0.000000121,1,0.2
0.0000001,0.00000001,0.0000001,1,0.88,error,Coefficient of restitution is greater than 1: 2.6029201627088425,,,,3,0.000000121,1,0.2
0.0000001,0.00000001,0.0000001,1,0.88,error,Coefficient of restitution is greater than 1: 1.1989276951794618,,,,5,0.000000121,1,0.2
0.0000001,0.00000001,0.0000001,1,0.88,0.15966625743694463,0.058520809016998424,0.5852080901699842,1,0.0000001,7,0.000000121,1,0.2
0.0000001,0.00000001,0.0000001,1,0.88,0.000000000000002117582368135751,0.3455997727913348,3.455997727913348,67,0.0000001,10,0.000000121,1,0.2
0.0000001,0.00000001,0.0000001,1,0.88,0.000000000000002117582368135751,0.3445233662939578,3.445233662939578,67,0.0000001,12,0.000000121,1,0.2
0.0000001,0.00000001,0.0000001,1,0.88,0.000000000000002117582368135751,0.3445233662939578,3.445233662939578,67,0.0000001,15,0.000000121,1,0.2
0.0000001,0.00000001,0.0000001,1,0.88,0.000000000000002117582368135751,0.3445233662939578,3.445233662939578,67,0.0000001,20,0.000000121,1,0.2
0.0000001,0.00000001,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 29.297032674120658,,,,1,0.000000121,1,0.2
0.0000001,0.00000001,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 2.6029201627088403,,,,3,0.000000121,1,0.2
0.0000001,0.00000001,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.7141098022362067,,,,5,0.000000121,1,0.2
0.0000001,0.00000001,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.7141098022362067,,,,7,0.000000121,1,0.2
0.0000001,0.00000001,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.7141098022362067,,,,10,0.000000121,1,0.2
0.0000001,0.00000001,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.7141098022362067,,,,12,0.000000121,1,0.2
0.0000001,0.00000001,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.7141098022362067,,,,15,0.000000121,1,0.2
0.0000001,0.00000001,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.7141098022362067,,,,20,0.000000121,1,0.2
0.0000001,0.00000001,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 29.29703267412066,,,,1,0.000000121,1,0.2
0.0000001,0.00000001,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 29.29703267412066,,,,3,0.000000121,1,0.2
0.0000001,0.00000001,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 29.29703267412066,,,,5,0.000000121,1,0.2
0.0000001,0.00000001,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 29.29703267412066,,,,7,0.000000121,1,0.2
0.0000001,0.00000001,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 29.29703267412066,,,,10,0.000000121,1,0.2
0.0000001,0.00000001,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 29.29703267412066,,,,12,0.000000121,1,0.2
0.0000001,0.00000001,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 29.29703267412066,,,,15,0.000000121,1,0.2
0.0000001,0.00000001,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 29.29703267412066,,,,20,0.000000121,1,0.2
0.0000001,0.00000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 164.89109802236206,,,,1,0.000000121,1,0.2
0.0000001,0.00000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 164.89109802236206,,,,3,0.000000121,1,0.2
0.0000001,0.00000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 164.89109802236206,,,,5,0.000000121,1,0.2
0.0000001,0.00000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 164.89109802236206,,,,7,0.000000121,1,0.2
0.0000001,0.00000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 164.89109802236206,,,,10,0.000000121,1,0.2
0.0000001,0.00000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 164.89109802236206,,,,12,0.000000121,1,0.2
0.0000001,0.00000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 164.89109802236206,,,,15,0.000000121,1,0.2
0.0000001,0.00000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 164.89109802236206,,,,20,0.000000121,1,0.2
0.00000003,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,1,0.000000066,1,0.2
0.00000003,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,3,0.000000066,1,0.2
0.00000003,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,5,0.000000066,1,0.2
0.00000003,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,7,0.000000066,1,0.2
0.00000003,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,10,0.000000066,1,0.2
0.00000003,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,12,0.000000066,1,0.2
0.00000003,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,15,0.000000066,1,0.2
0.00000003,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,20,0.000000066,1,0.2
0.00000003,0.00000003,0.0000001,1,0.88,error,particles are still colliding,,,,1,0.000000066,1,0.2
0.00000003,0.00000003,0.0000001,1,0.88,error,particles are still colliding,,,,3,0.000000066,1,0.2
0.00000003,0.00000003,0.0000001,1,0.88,error,particles are still colliding,,,,5,0.000000066,1,0.2
0.00000003,0.00000003,0.0000001,1,0.88,error,particles are still colliding,,,,7,0.000000066,1,0.2
0.00000003,0.00000003,0.0000001,1,0.88,error,particles are still colliding,,,,10,0.000000066,1,0.2
